grammar,vodA,ruukA,brAt,led,sekIra,prodAavnica,uraadIse,solution
26,(voo)dA,(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
27,vo(dA),(rUu)ka,(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
28,(vOda),(rUu)ka,(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
29,vo(dA),ruu(kA),(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
30,(vodA),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
31,(vOda),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
32,(voo)dA,(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
33,vo(dA),(rUu)ka,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
34,(vOda),(rUu)ka,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
35,vo(dA),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
36,(vodA),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
37,(vo)dA,(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
38,(vOda),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
39,vo(dA),(rUu)ka,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
40,(vOda),(rUu)ka,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
41,vo(dA),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
42,(vodA),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
43,(vo)dA,(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
44,(vOda),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
45,(voo)dA,(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
46,vo(dA),(rUu)ka,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
47,(vOda),(rUu)ka,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
48,vo(dA),(ruu)kA,(brAt),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
49,(vodA),(ruu)kA,(brAt),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
50,(vOda),(ruu)kA,(brAt),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
51,(voo)dA,(ruu)kA,(brAt),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
52,vo(dA),(rUu)ka,(brAt),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
53,(vOda),(rUu)ka,(brAt),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
54,vo(dA),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
55,(vodA),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
56,(vOda),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
57,(voo)dA,(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
58,vo(dA),(rUu)ka,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
59,(vOda),(rUu)ka,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
60,vo(dA),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
61,(vodA),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
62,(vOda),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
63,(voo)dA,(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
64,vo(dA),(rUu)ka,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
65,(vOda),(rUu)ka,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
66,vo(dA),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg
67,vo(dA),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg
