grammar,vodA,ruukA,brAt,led,sekIra,prodAavnica,uraadIse,solution
26,(vOda),(rUu)ka,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
27,vo(dA),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
28,(vodA),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
29,(vo)dA,(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
30,(vOda),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
31,vo(dA),(rUu)ka,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
32,(vOda),(rUu)ka,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
33,vo(dA),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
34,(vodA),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
35,(vo)dA,(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
36,(vOda),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
37,vo(dA),(rUu)ka,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
38,(vOda),(rUu)ka,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
39,vo(dA),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
40,(vodA),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
41,(vOda),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
42,(voo)dA,(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
43,vo(dA),(rUu)ka,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
44,(vOda),(rUu)ka,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
45,vo(dA),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
46,(vodA),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
47,(vOda),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
48,(voo)dA,(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
49,vo(dA),(rUu)ka,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
50,(vOda),(rUu)ka,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
51,vo(dA),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg
52,vo(dA),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg
